data = [
    ["Young",  "High",   "No",  "Fair", "No"],
    ["Young",  "High",   "No",  "Good", "No"],
    ["Middle", "High",   "No",  "Fair", "Yes"],
    ["Old",    "Medium", "No",  "Fair", "Yes"],
    ["Old",    "Low",    "Yes", "Fair", "Yes"],
    ["Old",    "Low",    "Yes", "Good", "No"],
    ["Middle", "Low",    "Yes", "Good", "Yes"],
    ["Young",  "Medium", "No",  "Fair", "No"],
    ["Young",  "Low",    "Yes", "Fair", "Yes"],
    ["Old",    "Medium", "Yes", "Fair", "Yes"],
    ["Young",  "Medium", "Yes", "Good", "Yes"],
    ["Middle", "Medium", "No",  "Fair", "Yes"],
    ["Middle", "High",   "Yes", "Fair", "Yes"],
    ["Old",    "Medium", "No",  "Good", "No"]
]
